url,naming,img,specs,price,class
https://market.yandex.ru/product--digma-dicam-870/1495194030?nid=26995636&show-uid=16536463949060483327916021&context=search&sku=101545836326&cpc=40FBlpEvEf0TCNr1vhsg-66BdHa3v3ubZ1Ki4mU21p7w0y4Djck7P6Oa3WNLDjA9yvLwRAp9fc76XW1WFIAqvdJGIJx4U0cu2iHghumuis3xRmVfTCOINFSrNMjPwNXqrM-Mfk6pvv0ajWf-PvIsxPQVnrLnJEk9QxGDXH8HayVJvI5xSsI45jI_9Mv4wJFi&do-waremd5=xLXV-D02U8offpVryM4M_w&sponsored=1,Экшн-камера Digma DiCam 870 серый,[],[{'Производитель': ' DIGMA'}],7 990,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-insta360-one-r-4k-3840x2160/657803132?nid=26995636&show-uid=16536463949060483327916022&context=search&sku=100902035745&cpc=1NbAFsya6GcrYieyPwPbWtAHmmtLqMlkLpUi66_hGT971er1-Fl8xRHOELFqstpAxbhjsnkigK773VVqofVHkpJgfNT-jjYxf8x2B3PAZriHq31vv4bX71PGbChqOegjNXO0Gz5qDAfJXztR9BRS0rezx04McE0HUNI1m7_jWHXLkUVwhVg7uA%2C%2C&do-waremd5=O1zR-NrQ5-d83sGwxx6dbg,"Экшн-камера Insta360 One R 4K, 3840x2160, черный/красный",[],"[{'макс. разрешение': ' UHD 4K (3840x2160)'}, {'беспроводная связь': ' Wi-Fi, Bluetooth'}, {'стабилизатор': ' электронный (цифровой)'}, {'максимальная частота кадров при 4K': ' 30 к/с'}]",33 866,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-x-try-xtm410-iguana-2880x2160/442378610?nid=26995636&show-uid=16536463949060483327916023&context=search&sku=100641668152&cpc=60QaWmGOc09JdB_MIIC4tJzkr-lGMqUl94vBhd69fUppsBVLfUqDJBMQjXbFqmLMIaMx-oSgmP3I-x7UtvPxpEeIcU0s-Ghs41wtNOTRk7MMR-CSnJ-Ls-3m246aeaUDSYca_OfxifPxRTNeTMVvDStMlfE_LLJ0mtKkmQ3azxNhr2ihCV-waw%2C%2C&do-waremd5=-Srjm30ccsLbN7RfxRzHOg,"Экшн-камера X-TRY XTМ410 Iguana, 2880x2160, черный",[],"[{'макс. разрешение': ' UHD 4K (2880x2160)'}, {'беспроводная связь': ' Wi-Fi'}, {'максимальная частота кадров при 4K': ' 24 к/с'}, {'максимальная частота кадров при Full HD': ' 60 к/с'}]",17 287,Экшн-камеры
https://market.yandex.ru/product--fotolovushka-lesnaia-kamera-minox-dtc600/1481349953?nid=26995636&show-uid=16536463949060483327916024&context=search&sku=101504055570&cpc=UtcmCHZ06a8fzKyfmB8kHb8zKdHCQmb3UQWA6EPmdI1_nqaJPQOcqh_no8cj50mXE1JzaMYgLDbu0RPlMPKmwrY-xEWhsxpa9HdYBNxGHRZ3dVkIEyAeDAEfBkNjjOoXgeOV8yEvrntSGfPWPQS_McZ013h3iy4wa6Nn2MPpb11oZQgeGySQM4U5N89DM_co&do-waremd5=EWNU4LrMht6610VI0pK6ew,Фотоловушка (лесная камера) MINOX DTC600,[],[],25 896,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-digma-dicam-850-chernyi-dc850/1408068746?nid=26995636&show-uid=16536463949060483327916025&context=search&sku=101407961202&cpc=da4zGEWMgg7G9KEFYr7D0RkyjCCRPDap6wAX8im3PIuT1-WH--yN1_DuCirVvwQYR3N2Q7-yjdcNh-3ws36kAIU5R2scIFlsQrMldpLlDeBcyDwsPczhl8xmVLTR4apsdZ7Gt4VgJaqpKFfWWsxRSjx_6a_-vGkSbRQXakjEev5JuxIhcR79Pw%2C%2C&do-waremd5=SW9ZKCcg7XJidUVnwHBjlQ,Экшн-камера Digma DiCam 850 черный (DC850),[],[],4 990,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-x-try-xtg370-ultra-hd-original-black-4mp-2880x2160/478565176?nid=26995636&show-uid=16536463949060483327916026&context=search&sku=100680925898&cpc=vvWoQNhjKuE-3Q4LfV8tPJ8l81o3X4DIdv0lHmXkOPPvxFtmBP0sW9VCCOaKAgkpWCNUqR18tjufNvfe7qihXQF-Ifzh6CYpudtf84aUzk7znEkBQYC_NfEsClnSc-og3VKbc1yOwJjGHI7hCzt_9tOcR4DzO5GoeX2kLcGTc9ttvxG135JQuQ%2C%2C&do-waremd5=Z-7YAqFvZsw4Folh7gOgDA,"Экшн-камера X-TRY XTG370 ULTRA HD Original Black, 4МП, 2880x2160, черный",[],"[{'макс. разрешение': ' UHD 4K (2880x2160)'}, {'стабилизатор': ' электронный (цифровой)'}, {'максимальная частота кадров при 4K': ' 24 к/с'}, {'максимальная частота кадров при Full HD': ' 60 к/с'}]",15 309,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-vtech-action-cam-180-640x480/256252549?nid=26995636&show-uid=16536463949060483327916027&context=search&sku=100870299414&cpc=wwh1cJiNJOFbHmZB_-ohUoUv3YQYiGNATjVd-WANbn1GBB5TL7if9WXFobNenvt_njE-mfc4dH2LdJ7jAQx2juifpasokp5_Rahze3efwMGvuPRpzYIt9UsDJxXEueM0iWrwudyNrYkeFqWGdVmRjhNTn1An0dK1_BkH5U6Brn0cP_jE5nKLPA%2C%2C&do-waremd5=jF6zUnEAwh8XEg7-DPpFrw,"Экшн-камера VTech Action Cam 180°, 640x480, черный/желтый",[],"[{'опции и комплект': ' запись на карту памяти, экран, защитный бокс в комплекте'}, {'вес': ' 500 г'}, {'экран': ' 1.8""'}]",5 490,Экшн-камеры
https://market.yandex.ru/product--digma-dicam-870/1495194030?nid=26995636&show-uid=16536463949060483327916028&context=search&sku=101545836326&cpc=40FBlpEvEf1ALY7uppqIZf851oZVvYMFjQ_8iqTlyI8vjQcrDltaHshmjtlMFtNXqSqySowsUKbZQZ4CrsEznuhRdTrP5-vmUZWadXm3Zg2fmXMm_TdmyuA_L2CPEE3D_WswvRWgHsnAeuKGE3_k4-IcOEujAHFXK3vVF2hfmXOaW2Vtm6pfUQ%2C%2C&do-waremd5=k20e_qQs0VMTwCOBp3TNpQ,Digma DiCam 870,[],[],7 990,Экшн-камеры
https://market.yandex.ru/product--podvodnaia-video-kamera-calypso-uvs-02-plus/1399162655?nid=26995636&show-uid=16536463949060483327916029&context=search&sku=101389999152&cpc=60QaWmGOc08RoMDevK_htSy0nAlcTCzbV3A-1VQwYVEe5uXmpknhImaEEaYWg4lG0R1sKzfl6AEzTLbWKNbUUn5vafO-QoPLLMcUvxIEJhkbLHoYzg73M1NT5MtSWjLsi5055BHEnLjFQJgtkzaQF2ro-Lp_yPfLjm48QqDbBWSpeslWg-VeWw%2C%2C&do-waremd5=Aidn_pW4fZ-FY87WP1pIpQ,Подводная видео- камера CALYPSO UVS-02 PLUS,[],"[{'цвет товара': ' голубой'}, {'тип': ' подводная видео-камера'}, {'опции и комплект': ' запись на карту памяти, экран…'}, {'время работы от аккумулятора': ' 6 ч'}]",14 100,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamery-rombica-dvp-ac340-ver-2/2000531774035?nid=26995636&show-uid=16536463948340193557316030&context=search&sku=2000531774035&cpc=SVqcMEMCyLjzI7ue28LBbaD5enMNH6XjH-PAsOQpn0S5OBwYs9M5FWj13lZbss3ZQegNFok82N5ZWJYakL6qozDmcF289hOzOXZrN9Yp7X6jY7bAu5aBSP38Ovj0ljCrTYQf3D1pYOlHNWLKBk33r4f-EzsojGMKa1PwTYTI_1CupeHI4QT5vksz2uHn-TB_&do-waremd5=6CQORNLAKlYzbNd9N01f7w,Экшн-камеры Rombica dvp-ac340 ver.2,[],"[{'Производитель': ' Rombica'}, {'Тип': ' экшн-камера'}]",790,Экшн-камеры
